analysis_weighting,baseline_960_observed_target_attainment_pct,delta_vs_960_observed_target_attainment_pct,n_source_directions_checked,observed_target_attainment_pct,target_algorithm,threshold_target_steps,wear_threshold
unweighted_primary,74.77446217904233,-0.6749387389448032,6,74.09952344009753,scrf,7000.0,600
WTMEC4YR_weighted_sensitivity,77.23739157627551,-0.7967419861416403,6,76.44064959013387,scrf,7000.0,600
unweighted_primary,68.37844089752487,-0.9507560920278024,6,67.42768480549707,scrf,8000.0,600
WTMEC4YR_weighted_sensitivity,70.89566009975302,-1.0366931300060855,6,69.85896696974693,scrf,8000.0,600
unweighted_primary,53.7589636826278,-1.1489670074643286,6,52.60999667516347,scrf,10000.0,600
WTMEC4YR_weighted_sensitivity,56.31034009325487,-1.2121864565562743,6,55.0981536366986,scrf,10000.0,600
unweighted_primary,62.13277816331251,-1.1441934353949748,6,60.98858472791754,scssl,7000.0,600
WTMEC4YR_weighted_sensitivity,64.62371084842717,-1.011582836605719,6,63.61212801182145,scssl,7000.0,600
unweighted_primary,52.81054823039556,-1.3199131866185496,6,51.49063504377701,scssl,8000.0,600
WTMEC4YR_weighted_sensitivity,55.40049692293868,-1.3731052038860838,6,54.027391719052595,scssl,8000.0,600
unweighted_primary,35.04510756419153,-1.153940546569899,6,33.89116701762163,scssl,10000.0,600
WTMEC4YR_weighted_sensitivity,36.30783234769952,-1.2077624906388067,6,35.10006985706072,scssl,10000.0,600
unweighted_primary,68.58662965533195,-1.314103887848859,6,67.27252576748309,vs,7000.0,600
WTMEC4YR_weighted_sensitivity,70.72319292261237,-1.3333973574956133,6,69.38979556511676,vs,7000.0,600
unweighted_primary,58.74392782789729,-1.4348288585966102,6,57.30909896930068,vs,8000.0,600
WTMEC4YR_weighted_sensitivity,60.29697333925708,-1.4183431381007807,6,58.8786302011563,vs,8000.0,600
unweighted_primary,39.28984501503586,-1.6194471429312358,6,37.67039787210462,vs,10000.0,600
WTMEC4YR_weighted_sensitivity,39.62514592793926,-1.7453776720702263,6,37.87976825586903,vs,10000.0,600
unweighted_primary,59.900532037936614,-1.0620082653554306,6,58.83852377258118,vsrev,7000.0,600
WTMEC4YR_weighted_sensitivity,62.40355686108578,-1.1916098708557,6,61.21194699023008,vsrev,7000.0,600
