exposure,source_algorithm,target_algorithm,method,group_type,group_level,source_input,predicted_target_full_sample,predicted_target_subgroup,subgroup_minus_full,subgroup_minus_full_over_target_iqr,target_iqr
daily_steps,oak,acti,isotonic,age_group,20-39,5389.597017857144,7433.595844155844,6832.525714285714,-601.0701298701306,-0.1096426235786026,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,5565.633464285716,7443.701053113554,6870.1601190476185,-573.5409340659353,-0.1046209578810687,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,5741.669910714287,7443.701053113554,6894.637606770719,-549.063446342835,-0.1001559614701614,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,5917.706357142859,7814.773817186394,6913.94246031746,-900.8313568689337,-0.1643227777602637,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6093.742803571431,8190.982539682541,7302.857142857142,-888.1253968253986,-0.1620050535463536,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6269.779250000001,8190.982539682541,7424.210714285714,-766.7718253968269,-0.1398686616498926,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6445.815696428574,8252.97302123552,7595.577142857142,-657.3958783783792,-0.1199171365423515,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6621.852142857145,8252.97302123552,7595.577142857142,-657.3958783783792,-0.1199171365423515,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6797.888589285716,8620.342124542125,7926.729131652662,-693.6129928894634,-0.1265235860331953,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,6973.925035714288,8745.776882376884,8272.82455026455,-472.95233211233426,-0.0862723531638796,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,7149.9614821428595,8745.776882376884,8272.82455026455,-472.95233211233426,-0.0862723531638796,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,7325.997928571432,9012.48732993197,8383.87074829932,-628.6165816326502,-0.1146674369762948,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,7502.034375000003,9045.94220521542,8394.223051948053,-651.7191532673678,-0.1188816316926258,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,7678.070821428574,9250.56929563492,8853.639455782313,-396.929839852608,-0.0724049106008273,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,7854.107267857145,9301.88088803089,8892.822067806257,-409.05882022463265,-0.0746173865886285,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8030.143714285718,9376.465312791785,8958.517647058823,-417.9476657329597,-0.0762388219148664,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8206.180160714288,9646.285446428574,9070.20144557823,-576.0840008503437,-0.1050848447061192,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8382.21660714286,9693.749355158729,9241.189215686274,-452.56013947245447,-0.0825525650885018,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8558.253053571432,9745.693816631128,9462.310666666666,-283.38314996446206,-0.05169259042499,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8734.289500000003,9987.049227799229,9462.310666666666,-524.7385611325626,-0.0957188016444371,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,8910.325946428575,9987.049227799229,9765.61212522046,-221.43710257876776,-0.0403928654541959,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9086.362392857149,10125.276511715794,9765.61212522046,-359.664386495333,-0.0656072311423247,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9262.398839285715,10331.886312456014,10116.505303030302,-215.38100942571143,-0.039288159182931,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9438.43528571429,10331.886312456014,10116.505303030302,-215.38100942571143,-0.039288159182931,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9614.471732142862,10641.824423963131,10116.505303030302,-525.3191209328306,-0.0958247029302977,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9790.508178571432,10808.787100213218,10411.385815602836,-397.4012846103815,-0.0724909079537915,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,9966.544625000004,10923.55803030303,10625.298831168831,-298.25919913419784,-0.0544061657274368,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,10142.581071428576,10991.765631469978,10625.298831168831,-366.4668003011466,-0.0668480755284829,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,10318.617517857148,11063.471534391534,10641.608843537417,-421.8626908541173,-0.0769529709040244,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,10494.65396428572,11220.548166877368,10734.398752834466,-486.1494140429022,-0.0886796640824273,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,10670.690410714293,11415.637566137566,11233.418867924527,-182.2186982130388,-0.0332389435846228,5482.084523809524
daily_steps,oak,acti,isotonic,age_group,20-39,10846.72685714286,11595.281507936506,11233.418867924527,-361.8626400119792,-0.0660082197639155,5482.084523809524
