absolute_change,analysis_weighting,baseline_960,current,degenerate_status_changed_n,maximum,maximum_absolute_change_vs_960,median,median_absolute_change_vs_960,metric,minimum,n_comparable_nondegenerate,na_n,q25,q75,rank,section,source_algorithm,spearman_vs_960,target_algorithm,target_steps,wear_threshold
,,,,,0.5289124091132525,0.0946075416885897,0.2997752877457076,0.01716696306984676,complete-sample P05-P95 H,0.14093982348613082,,0,0.21417985194327493,0.39336231121585585,,continuous_summary,,0.9722874969613485,,,600
0.0946075416885897,,0.5021847747843555,0.4075772330957658,,,,,,complete-sample P05-P95 H,,,,,,1,continuous_largest_absolute_change,vsrev,,adept,,600
0.06983192523702927,,0.2132925563393987,0.14346063110236942,,,,,,complete-sample P05-P95 H,,,,,,2,continuous_largest_absolute_change,vsrev,,oak,,600
0.0514901967955852,,0.326836552910744,0.3783267497063292,,,,,,complete-sample P05-P95 H,,,,,,3,continuous_largest_absolute_change,acti,,adept,,600
0.044311428382233675,,0.2152130711973439,0.25952449957957757,,,,,,complete-sample P05-P95 H,,,,,,4,continuous_largest_absolute_change,vsrev,,scrf,,600
0.043870237700340126,,0.1682585402826935,0.21212877798303362,,,,,,complete-sample P05-P95 H,,,,,,5,continuous_largest_absolute_change,scrf,,acti,,600
,,,,,0.5215546735565495,0.07502823587782165,0.27945613777265343,0.017467496163618243,complete-sample P05-P95 H,0.14659810459831327,,0,0.2231983024949814,0.38740941392754047,,continuous_summary,,0.9730978040677417,,,720
0.07502823587782165,,0.5021847747843555,0.4271565389065339,,,,,,complete-sample P05-P95 H,,,,,,1,continuous_largest_absolute_change,vsrev,,adept,,720
0.061272578662846744,,0.2152130711973439,0.27648564986019064,,,,,,complete-sample P05-P95 H,,,,,,2,continuous_largest_absolute_change,vsrev,,scrf,,720
0.05249235620070408,,0.326836552910744,0.37932890911144806,,,,,,complete-sample P05-P95 H,,,,,,3,continuous_largest_absolute_change,acti,,adept,,720
0.04824620332701646,,0.2132925563393987,0.16504635301238224,,,,,,complete-sample P05-P95 H,,,,,,4,continuous_largest_absolute_change,vsrev,,oak,,720
0.047485672814051305,,0.3739261169847734,0.3264404441707221,,,,,,complete-sample P05-P95 H,,,,,,5,continuous_largest_absolute_change,scrf,,adept,,720
,,,,,0.562869029112494,0.09993850360719314,0.30059851787141845,0.021112863755636452,complete-sample P05-P95 H,0.14718927547766544,,0,0.22776582492414538,0.3955982408354244,,continuous_summary,,0.9630499959484644,,,1296
